Date,Open,High,Low,Close,Adj Close,Volume
2023-12-04,62.090000,63.279999,62.049999,63.259998,63.259998,4776300
2023-12-05,63.150002,63.889999,62.730000,62.880001,62.880001,2643200
2023-12-06,62.889999,63.220001,62.430000,62.730000,62.730000,2928300
2023-12-07,63.380001,63.779999,62.869999,63.360001,63.360001,1766200
2023-12-08,63.779999,64.610001,63.700001,64.540001,64.540001,2388600
2023-12-11,64.120003,65.349998,64.120003,65.089996,65.089996,3934200
2023-12-12,64.500000,64.830002,64.400002,64.650002,64.650002,2089300
2023-12-13,64.610001,65.919998,64.180000,65.919998,65.919998,2317300
2023-12-14,66.660004,67.379997,66.500000,66.879997,66.879997,4397900
2023-12-15,66.599998,66.750000,66.010002,66.080002,66.080002,2445500
2023-12-18,66.080002,66.260002,65.769997,66.129997,66.129997,1448700
2023-12-19,66.000000,66.739998,65.739998,66.190002,66.190002,1942900
2023-12-20,66.059998,66.809998,65.570000,65.580002,65.580002,1744600
2023-12-21,66.459999,66.800003,66.099998,66.620003,66.620003,1885300
2023-12-22,66.360001,67.160004,66.120003,67.000000,67.000000,1601800
2023-12-26,67.120003,67.180000,66.519997,66.720001,66.720001,1412900
2023-12-27,66.970001,67.440002,66.800003,67.040001,67.040001,1789900
2023-12-28,66.830002,67.360001,66.709999,67.220001,67.220001,1880600
2023-12-29,67.220001,67.250000,66.730003,67.110001,67.110001,796500
2024-01-02,66.440002,67.139999,66.400002,66.620003,66.620003,1580200
2024-01-03,66.199997,66.629997,65.889999,65.910004,65.910004,1534500
2024-01-04,66.400002,66.589996,66.139999,66.269997,66.269997,917800
2024-01-05,66.199997,66.260002,65.370003,65.570000,65.570000,1485800
2024-01-08,65.379997,65.930000,64.889999,65.919998,65.919998,1993100
2024-01-09,65.099998,65.379997,64.730003,64.820000,64.820000,1683000
2024-01-10,65.209999,65.940002,65.150002,65.349998,65.349998,1956600
2024-01-11,65.150002,65.449997,64.739998,65.379997,65.379997,1669200
2024-01-12,65.309998,65.989998,65.239998,65.580002,65.580002,1986900
2024-01-16,65.989998,65.989998,61.130001,61.180000,61.180000,9197700
2024-01-17,59.610001,59.610001,55.439999,55.590000,55.590000,15817200
2024-01-18,57.619999,57.919998,56.279999,56.520000,56.520000,13162000
